region,state,zip3,Number of Records,postal_cd_key
Midwest,IA,515,1,51550
Midwest,IA,515,1,51551
Midwest,IA,515,1,51552
Midwest,IA,515,1,51553
Midwest,IA,515,1,51554
Midwest,IA,515,1,51555
Midwest,IA,515,1,51556
Midwest,IA,515,1,51557
Midwest,IA,515,1,51558
Midwest,IA,515,1,51559
Midwest,IA,515,1,51560
Midwest,IA,515,1,51561
Midwest,IA,515,1,51562
Midwest,IA,515,1,51563
Midwest,IA,515,1,51564
Midwest,IA,515,1,51565
Midwest,IA,515,1,51566
Midwest,IA,515,1,51570
Midwest,IA,515,1,51571
Midwest,IA,515,1,51572
Midwest,IA,515,1,51573
Midwest,IA,515,1,51575
Midwest,IA,515,1,51576
Midwest,IA,515,1,51577
Midwest,IA,515,1,51578
Midwest,IA,515,1,51579
Midwest,IA,515,1,51591
Midwest,IA,515,1,51593
Midwest,IA,516,1,51601
Midwest,IA,516,1,51602
Midwest,IA,516,1,51603
Midwest,IA,516,1,51630
Midwest,IA,516,1,51631
Midwest,IA,516,1,51632
Midwest,IA,516,1,51636
Midwest,IA,516,1,51637
Midwest,IA,516,1,51638
Midwest,IA,516,1,51639
Midwest,IA,516,1,51640
Midwest,IA,516,1,51645
Midwest,IA,516,1,51646
Midwest,IA,516,1,51647
Midwest,IA,516,1,51648
Midwest,IA,516,1,51649
Midwest,IA,516,1,51650
Midwest,IA,516,1,51651
Midwest,IA,516,1,51652
Midwest,IA,516,1,51653
Midwest,IA,516,1,51654
Midwest,IA,516,1,51656
Midwest,IA,520,1,52001
Midwest,IA,520,1,52002
Midwest,IA,520,1,52003
Midwest,IA,520,1,52004
Midwest,IA,520,1,52030
Midwest,IA,520,1,52031
Midwest,IA,520,1,52032
Midwest,IA,520,1,52033
Midwest,IA,520,1,52035
Midwest,IA,520,1,52036
Midwest,IA,520,1,52037
Midwest,IA,520,1,52038
Midwest,IA,520,1,52039
Midwest,IA,520,1,52040
Midwest,IA,520,1,52041
Midwest,IA,520,1,52042
Midwest,IA,520,1,52043
Midwest,IA,520,1,52044
Midwest,IA,520,1,52045
Midwest,IA,520,1,52046
Midwest,IA,520,1,52047
Midwest,IA,520,1,52048
Midwest,IA,520,1,52049
Midwest,IA,520,1,52050
Midwest,IA,520,1,52052
Midwest,IA,520,1,52053
Midwest,IA,520,1,52054
Midwest,IA,520,1,52056
Midwest,IA,520,1,52057
Midwest,IA,520,1,52060
Midwest,IA,520,1,52064
Midwest,IA,520,1,52065
Midwest,IA,520,1,52066
Midwest,IA,520,1,52068
Midwest,IA,520,1,52069
Midwest,IA,520,1,52070
Midwest,IA,520,1,52071
Midwest,IA,520,1,52072
Midwest,IA,520,1,52073
Midwest,IA,520,1,52074
Midwest,IA,520,1,52075
Midwest,IA,520,1,52076
Midwest,IA,520,1,52077
Midwest,IA,520,1,52078
Midwest,IA,520,1,52079
Midwest,IA,520,1,52099
Midwest,IA,521,1,52101
Midwest,IA,521,1,52132
Midwest,IA,521,1,52133
Midwest,IA,521,1,52134
Midwest,IA,521,1,52135
Midwest,IA,521,1,52136
Midwest,IA,521,1,52140
Midwest,IA,521,1,52141
Midwest,IA,521,1,52142
Midwest,IA,521,1,52144
Midwest,IA,521,1,52146
Midwest,IA,521,1,52147
Midwest,IA,521,1,52149
Midwest,IA,521,1,52151
Midwest,IA,521,1,52154
Midwest,IA,521,1,52155
Midwest,IA,521,1,52156
Midwest,IA,521,1,52157
